Ticker,Tipo,Segmento,Preço,DY (%),P/VP,Liquidez Diária (R$),Vacância (%),Score,Estratégias,Número Mágico,Custo Mágico (R$),Seção Bola de Neve
LVBI11,OUTROS,Log�stica,109.48,8.23,0.91,4.13M,2.08,8,,146,15984.08,Base R$ 100+ (Premium/Tradicionais)
CPOF11,OUTROS,Outros,110.00,5.90,1.03,21.83M,3.00,6,,204,22440.00,Base R$ 100+ (Premium/Tradicionais)
RINV11,OUTROS,Outros,110.15,11.62,1.03,603.89K,0.00,8,,104,11455.60,Base R$ 100+ (Premium/Tradicionais)
XPML11,TIJOLO,Shoppings,111.00,9.86,1.03,17.82M,4.00,10,TIJOLO_VALUE; SAFE_INCOME,122,13542.00,Base R$ 100+ (Premium/Tradicionais)
LASC11,TIJOLO,Shoppings,112.85,16.15,0.86,5.71M,0.00,10,TIJOLO_VALUE; SAFE_INCOME,75,8463.75,Base R$ 100+ (Premium/Tradicionais)
NEWL11,MULTI,Multicategoria,116.99,9.80,0.89,3.88M,0.00,8,SAFE_INCOME,123,14389.77,Base R$ 100+ (Premium/Tradicionais)
BRCO11,OUTROS,Log�stica,118.42,8.89,1.02,4.39M,7.59,7,,135,15986.70,Base R$ 100+ (Premium/Tradicionais)
HGRU11,OUTROS,Outros,126.01,9.67,0.97,6.41M,0.81,8,SAFE_INCOME,125,15751.25,Base R$ 100+ (Premium/Tradicionais)
HTMX11,TIJOLO,Hotel,137.07,10.88,0.91,626.53K,0.00,8,TIJOLO_VALUE,111,15214.77,Base R$ 100+ (Premium/Tradicionais)
HBCR11,MULTI,Multicategoria,137.96,13.12,1.18,790.87K,0.00,6,,92,12692.32,Base R$ 100+ (Premium/Tradicionais)
HGLG11,MULTI,Multicategoria,156.88,8.35,0.94,16.92M,2.91,8,,144,22590.72,Base R$ 100+ (Premium/Tradicionais)
KNRI11,MULTI,Multicategoria,166.59,7.23,1.02,6.45M,0.09,7,,166,27653.94,Base R$ 100+ (Premium/Tradicionais)
TRXB11,MULTI,Multicategoria,174.00,15.39,1.71,3.33M,0.00,8,,78,13572.00,Base R$ 100+ (Premium/Tradicionais)
TJKB11,TIJOLO,Hospital,255.06,13.76,0.88,1.25M,0.00,10,TIJOLO_VALUE; SAFE_INCOME,88,22445.28,Base R$ 100+ (Premium/Tradicionais)
FIIB11,OUTROS,Log�stica,472.61,10.03,0.80,886.01K,1.10,6,SAFE_INCOME,120,56713.20,Base R$ 100+ (Premium/Tradicionais)
RZLC11,OUTROS,Outros,1005.97,14.37,1.02,1.15M,0.00,10,SAFE_INCOME,84,84501.48,Base R$ 100+ (Premium/Tradicionais)
